Date,MMM_p,MMM_r,AXP_p,AXP_r,AAPL_p,AAPL_r,BA_p,BA_r,CAT_p,CAT_r,CVX_p,CVX_r,CSCO_p,CSCO_r,KO_p,KO_r,DWDP_p,DWDP_r,XOM_p,XOM_r,GE_p,GE_r,GS_p,GS_r,HD_p,HD_r,IBM_p,IBM_r,INTC_p,INTC_r,JNJ_p,JNJ_r,JPM_p,JPM_r,MCD_p,MCD_r,MRK_p,MRK_r,MSFT_p,MSFT_r,NKE_p,NKE_r,PFE_p,PFE_r,PG_p,PG_r,TRV_p,TRV_r,UNH_p,UNH_r,UTX_p,UTX_r,VZ_p,VZ_r,V_p,V_r,WMT_p,WMT_r,DIS_p,DIS_r
1/2/2014,125.034859,,83.959023,,67.984016,,121.967514,,78.299019,,105.582748,,19.306179,,35.79937,,41.300621,,86.378006,,24.084024,,167.572769,,75.326233,,161.070953,,22.691662,,81.54155,,52.485397,,85.201164,,43.679909,,33.522118,,37.083912,,26.155352,,70.437851,,81.526955,,69.895447,,102.316963,,40.350544,,52.071384,,70.951355,,72.177032,
1/3/2014,125.324509,0.002313875,84.231209,0.003236647,66.490685,-0.022210756,122.815308,0.006926935,78.255455,-0.000556535,105.761337,0.001690031,19.28863,-0.000909397,35.623272,-0.004931163,41.112339,-0.004569241,86.170166,-0.002409068,24.066513,-0.000727344,168.766403,0.007097829,75.206856,-0.001586057,162.034622,0.005965059,22.682863,-0.000387839,82.276054,0.008967399,52.891129,0.007700653,85.316025,0.001347207,43.89172,0.004837444,33.296593,-0.00675038,36.984383,-0.002687494,26.206877,0.001968022,70.359138,-0.001118106,81.371811,-0.001904791,70.392227,0.007082334,102.689873,0.003638029,39.872925,-0.011907355,52.106731,0.000678588,70.717583,-0.003300261,72.025612,-0.002100101
1/6/2014,124.582253,-0.005940281,84.193665,-0.000445825,66.853264,0.005438265,123.520348,0.005724238,77.227379,-0.013224495,105.480682,-0.002657191,19.314959,0.00136407,35.455994,-0.00470681,41.037022,-0.001833661,86.300072,0.001506417,23.87384,-0.008038073,169.92215,0.006824863,74.481331,-0.009693894,161.478958,-0.003435185,22.401302,-0.012490623,82.706017,0.005212251,53.197697,0.005779475,84.706268,-0.007172702,43.900555,0.000201271,32.592949,-0.021359103,36.699989,-0.007719287,26.232632,0.000982275,70.525314,0.002359041,81.152763,-0.002695569,69.586128,-0.011517608,102.589828,-0.000974719,40.095272,0.0055609,51.793377,-0.00603185,70.321945,-0.005610328,71.751183,-0.003817436
1/7/2014,124.600357,0.000145307,83.874565,-0.003797272,66.375145,-0.007177464,125.394417,0.015058202,77.480034,0.003266233,106.373711,0.008430642,19.57822,0.01353785,35.561642,0.002975263,40.585129,-0.011072916,87.521042,0.014048812,23.900116,0.001100014,168.899048,-0.006039204,74.848679,0.004919959,164.699905,0.019750217,22.51569,0.005093317,84.461731,0.021006188,52.584568,-0.011592413,85.174644,0.005514183,44.227112,0.007411032,32.845531,0.007719716,36.728432,0.000774714,26.395782,0.006200093,71.207481,0.009626174,80.678185,-0.005865125,71.713837,0.030118477,103.244713,0.006363239,40.597591,0.012450308,52.189186,0.007613025,70.537735,0.003063903,72.243271,0.006834845
1/8/2014,123.677071,-0.007437569,84.138023,0.003136172,66.795494,0.006312959,125.671066,0.0022038,77.663002,0.002358702,104.859795,-0.014334297,19.560675,-0.000896551,35.165436,-0.011203917,40.632206,0.001159285,87.235283,-0.003270374,23.830048,-0.002936007,169.041138,0.000840918,75.243584,0.005262175,163.189301,-0.009214178,22.37491,-0.006272158,84.345291,-0.001379564,53.080482,0.009386597,84.317413,-0.01011538,43.944675,-0.006406538,32.259159,-0.01801369,36.53883,-0.005175638,26.576107,0.006808354,70.175484,-0.014598864,79.929817,-0.009319254,70.879616,-0.011700825,103.372055,0.00123264,40.372841,-0.005551423,52.356476,0.003200327,69.98027,-0.00793447,71.183372,-0.014779936
1/9/2014,123.514099,-0.001318591,83.63929,-0.005945196,65.94252,-0.01285217,126.840141,0.009259655,78.159607,0.006374,104.859795,0,19.385159,-0.0090134,34.980553,-0.00527139,40.105,-0.013059989,86.38665,-0.009775721,23.83881,0.000367619,168.055908,-0.005845396,74.912979,-0.004403478,162.677063,-0.003143856,22.269321,-0.00473025,84.855865,0.006035131,52.981308,-0.001870118,84.361603,0.000523954,43.706379,-0.005437392,32.051689,-0.006452122,36.53883,0,26.558931,-0.000646504,70.332924,0.002241006,80.021088,0.001141238,71.310783,0.006064662,103.426628,0.000527789,39.540409,-0.020834145,52.283436,-0.001396026,70.214035,0.003334875,70.880547,-0.004263228
1/10/2014,123.269691,-0.001980747,83.328751,-0.003719746,65.502495,-0.00669522,126.634872,-0.001619639,78.856621,0.0088783,102.920647,-0.018665898,19.499245,0.005867974,35.332726,0.010017338,40.208561,0.002578918,87.044769,0.007589423,23.611103,-0.009597857,168.99379,0.005565259,75.317062,0.005379536,162.572876,-0.000640658,22.4629,0.008655068,84.864815,0.000105467,52.737854,-0.004605682,84.662064,0.003555257,44.024124,0.007243692,32.511761,0.01425202,36.458267,-0.002207294,26.352846,-0.007789799,70.227974,-0.001493303,79.847672,-0.00216948,70.017288,-0.018305367,103.535782,0.00105482,39.748508,0.005249144,52.099663,-0.003521129,70.169098,-0.000640205,71.344254,0.006520785
1/13/2014,121.911926,-0.011075699,81.860718,-0.017774398,65.845406,0.005221428,125.563988,-0.008492429,78.316437,-0.006873775,101.423729,-0.014651196,19.472918,-0.001351067,34.804451,-0.015064336,39.436581,-0.019386096,85.338875,-0.019792477,23.409672,-0.008567797,166.615936,-0.014170589,74.361923,-0.012762673,159.881561,-0.016693072,22.436495,-0.001176185,84.649834,-0.002536431,52.025543,-0.01359868,83.804855,-0.010176673,46.883747,0.062933313,31.555532,-0.029852986,35.633541,-0.022880879,26.224047,-0.004899462,69.97435,-0.003617975,78.798126,-0.013231505,69.304947,-0.010225894,102.598923,-0.009089837,39.149158,-0.015193391,51.574249,-0.010135983,69.674553,-0.007072857,69.338013,-0.028523524
1/14/2014,124.383125,0.020067654,81.983063,0.001493435,67.155594,0.019702564,124.948204,-0.00491621,78.900177,0.007425967,101.695885,0.002679763,19.665983,0.009865712,34.945328,0.004039502,40.152073,0.017980233,85.832481,0.005767406,23.619865,0.008938825,167.298035,0.004085483,74.398689,0.000494298,161.4095,0.009511317,23.325161,0.038843775,84.846909,0.002325414,52.061611,0.000693035,84.149513,0.004104192,46.777832,-0.002261654,32.27721,0.022612494,35.628799,-0.000133086,26.619038,0.01494986,70.726486,0.010691382,79.811157,0.012774092,69.379929,0.001081329,102.444313,-0.001508072,39.190792,0.001062906,52.457783,0.016986215,70.097168,0.006047236,70.454697,0.015976624
1/15/2014,125.315445,0.007467598,83.04644,0.012887292,68.503922,0.019878774,125.492592,0.004347446,80.511986,0.020222597,101.364189,-0.003266977,19.990677,0.016375623,35.006958,0.001762059,40.528648,0.009335012,85.538033,-0.003436394,23.943901,0.013625541,169.334793,0.012100916,74.453773,0.000740115,162.989578,0.009741646,23.465942,0.006017444,84.918549,0.000843988,53.639511,0.029858098,84.361603,0.002517224,46.354179,-0.009097966,33.161266,0.0270211,35.752033,0.003452863,26.773603,0.005789765,70.656502,-0.000989992,80.203629,0.004905457,70.148506,0.011016891,103.754074,0.012704063,40.181381,0.024961908,52.719299,0.004972881,69.827415,-0.003855696,70.293816,-0.002286078
1/16/2014,125.062027,-0.002024288,82.604126,-0.005340339,68.121658,-0.005595804,125.126694,-0.002919953,80.687378,0.002176089,101.066521,-0.002940939,19.990677,0,34.96294,-0.001258198,40.566299,0.000928566,85.67659,0.001618519,23.821295,-0.005133707,165.943375,-0.020231163,74.628265,0.002340887,163.875107,0.005418335,23.351561,-0.004886259,84.77523,-0.001689149,53.188683,-0.008440294,84.891838,0.006265595,46.336525,-0.000380923,33.278549,0.003530507,35.4487,-0.008520554,26.765013,-0.00032089,70.45536,-0.002850818,79.619514,-0.00730955,68.198914,-0.028185868,103.890511,0.00131414,40.397812,0.005371896,52.250446,-0.008933167,69.018181,-0.011656735,70.227577,-0.00094276
